id,vendor,product_name,units,brand,current_price,price_per_unit,price_in_dollars
2882401,NoFrills,Bread Whole Grain Gluten Free,567g,Little Northern Bakehouse,6.99,$1.23/100g,1.23
2882402,NoFrills,"Bread, Sliced White",675g,Wonder,2.49,$0.37/100g,0.37
2882403,NoFrills,"Bread, Whole Wheat",1400g,Ralph's,6.49,$0.46/100g,0.46
2882404,NoFrills,Breaded Butterflied Shrimp ,400g,President's Choice,11.00,$2.75/100g,2.75
2882405,NoFrills,Breaded Chicken Breast Fillets Spicy Buttermilk Medium 17 Pieces Minimum,907g,President's Choice,21.99,$2.42/100g,2.42
2882406,NoFrills,Breaded Chicken Burger,1.5kg,,10.00,$0.67/100g,0.67
2882407,NoFrills,Breaded Chicken Burgers,800g,Zabiha Halal,10.99,$1.37/100g,1.37
2882408,NoFrills,Breaded Chicken Cutlettes Chicken Nuggets Club Size,1810g,No Name,10.99,$0.61/100g,0.61
2882409,NoFrills,Breaded Chicken Cutlettes Chicken Strips,908g,No Name,6.00,$0.66/100g,0.66
2882410,NoFrills,Breaded Chicken Strips,600g,President's Choice,8.49,$1.42/100g,1.42
