id,vendor,product_name,units,brand,current_price,price_per_unit,price_in_dollars
2315666,Metro,Organic 37% Cocoa Milk Chocolate Bar,90g,Green & Black's,4.99,$5.54 /100g,5.54
2315681,Metro,Milk Chocolate With Praliné,100g,Ritter Sport,3.99,$3.99 /100g,3.99
2315686,Metro,"Peanut Butter And Milk Chocolate Cups, Big Gup",79g,Reese's,2/$4.00,$2.53 /100g,2.53
2315729,Metro,"Milk Hazelnut Chocolate Bar, Rocher",90g,Ferrero,3.99,$4.43 /100g,4.43
2315734,Metro,"Toffee Flavoured Milk Chocolate Bar, Dairy Milk",100g,Cadbury,2/$6.00,$3.00 /100g,3.0
2316421,Metro,Organic 37% Cocoa Milk Chocolate Bar With Butterscot...,90g,Green & Black's,4.99,$5.54 /100g,5.54
2316467,Metro,Hazelnut Praline Milk Chocolate Mini Fondue,85g,Chocolats Favoris,5.99,$7.05 /100g,7.05
2316474,Metro,"Extra Creamy Milk Chocolate Bar, Excellence",100g,Lindt,2/$8.00,$4.00 /100g,4.0
2316637,Metro,Creamy Milk Chocolate Bar With Whole Almonds,43g,Hershey's,4/$6.00,$3.49 /100g,3.49
2316743,Metro,Milk Chocolate With A Milky Filling,6x21g,Kinder,2/$9.00,$3.57 /100g,3.57
2316807,Metro,Mint Flavoured Milk Chocolate,100g,Cadbury,2/$6.00,$3.00 /100g,3.0
2316836,Metro,"Mini Milk Chocolate Bars With Mini Eggs Candies, Dai...",152g,Cadbury,2/$9.00,$2.96 /100g,2.96
2316976,Metro,"Salted Caramel  Chocolate, Caramilk",100g,Cadbury,2/$6.00,$3.00 /100g,3.0
2317035,Metro,Milk Chocolate And Peanut Butter Stuffed With Reese'...,34g,Reese's,4/$6.00,$4.41 /100g,4.41
2317402,Metro,Non-Dairy Coconutmilk Frozen Sandwiches,8x68ml,So Delicious,8.99,$1.65 /100ml,1.65
2318760,Metro,Swiss Milk Chocolate Cake,600g,Front Street Bakery,24.99,$4.54 /100g,4.54
2319183,Metro,Milk Chocolate Covered Fruit Jelly Cookie,100g,Jaffa,0.62,$0.62 /100g,0.62
2319249,Metro,"Swiss Milk Chocolate Truffle Cake Slice, Made With L...",130g,Front Street Bakery,3.99,$3.63 /100g,3.63
2320678,Metro,Milk Chocolate Covered Almonds,250g,Irrésistible,4.99,$2.00 /100g,2.0
2320727,Metro,"2% Milk, Fine-Filtered",2 l,Natrel,5.69,$0.28 /100ml,0.28
2320729,Metro,"2% Milk, PurFiltre",2l,Lactantia,5.89,$0.29 /100ml,0.29
2320735,Metro,Goat'S Milk Feta Cheese,200g,Krinos,9.29,$4.65 /100g,4.65
2320778,Metro,4.9% Plain Goat Milk Yogurt,500g,Maison Riviera,7.49,$1.50 /100g,1.5
2320779,Metro,"Lactose Free Skim Milk, Fine-Filtered",2 l,Natrel,6.69,$0.33 /100ml,0.33
